"Index"	"Med"	"LCI"	"HCI"	"ID"	"GrazeTime"	"Plot"	"Sample"	"Year"	"Treatment"	"Block"
"GNDVI"	0.524528301886792	0.124653739612188	0.791304347826087	"1WK_1_5_2018"	"1WK"	"1"	"5"	"2018"	"NO"	"1"
"SRATG"	3.20634920634921	1.28481012658228	8.58333333333333	"1WK_1_5_2018"	"1WK"	"1"	"5"	"2018"	"NO"	"1"
"BNDVI"	0.408906882591093	0.135391923990499	0.676923076923077	"1WK_2_1_2017"	"1WK"	"2"	"1"	"2017"	"LO"	"1"
"BWDR"	-0.61504424778761	-0.767848470131132	-0.316614420062696	"1WK_2_1_2017"	"1WK"	"2"	"1"	"2017"	"LO"	"1"
"CHIG"	1.24489795918367	0.225806451612903	4.74077060931895	"1WK_2_1_2017"	"1WK"	"2"	"1"	"2017"	"LO"	"1"
"GNDVI"	0.383647798742138	0.101449275362319	0.7032980177717	"1WK_2_1_2017"	"1WK"	"2"	"1"	"2017"	"LO"	"1"
"SRATG"	2.24489795918367	1.2258064516129	5.74077060931895	"1WK_2_1_2017"	"1WK"	"2"	"1"	"2017"	"LO"	"1"
"BNDVI"	0.52191235059761	0.19493670886076	0.780821917808219	"1WK_2_1_2018"	"1WK"	"2"	"1"	"2018"	"LO"	"1"
"BWDR"	-0.517067003792668	-0.741511500547645	-0.103448275862069	"1WK_2_1_2018"	"1WK"	"2"	"1"	"2018"	"LO"	"1"
"CHIG"	1.93055555555556	0.339181286549708	6.5	"1WK_2_1_2018"	"1WK"	"2"	"1"	"2018"	"LO"	"1"
"GNDVI"	0.491166077738516	0.145	0.764705882352941	"1WK_2_1_2018"	"1WK"	"2"	"1"	"2018"	"LO"	"1"
"SRATG"	2.93055555555556	1.33918128654971	7.5	"1WK_2_1_2018"	"1WK"	"2"	"1"	"2018"	"LO"	"1"
"BNDVI"	0.411320754716981	0.0736842105263158	0.687943262411348	"1WK_2_2_2017"	"1WK"	"2"	"2"	"2017"	"LO"	"1"
"BWDR"	-0.613236814891417	-0.792260692464358	-0.297935103244838	"1WK_2_2_2017"	"1WK"	"2"	"2"	"2017"	"LO"	"1"
"CHIG"	1.42666666666667	0.0948275862068966	6.10526315789474	"1WK_2_2_2017"	"1WK"	"2"	"2"	"2017"	"LO"	"1"
"GNDVI"	0.416342412451362	0.0452674897119342	0.753246753246753	"1WK_2_2_2017"	"1WK"	"2"	"2"	"2017"	"LO"	"1"
"SRATG"	2.42666666666667	1.0948275862069	7.10526315789474	"1WK_2_2_2017"	"1WK"	"2"	"2"	"2017"	"LO"	"1"
"BNDVI"	0.51310861423221	0.185	0.789473684210526	"1WK_2_2_2018"	"1WK"	"2"	"2"	"2018"	"LO"	"1"
"BWDR"	-0.525821596244131	-0.746116764863417	-0.081081081081081	"1WK_2_2_2018"	"1WK"	"2"	"2"	"2018"	"LO"	"1"
"CHIG"	1.92307692307692	0.328125	7	"1WK_2_2_2018"	"1WK"	"2"	"2"	"2018"	"LO"	"1"
"GNDVI"	0.490196078431373	0.140939597315436	0.777777777777778	"1WK_2_2_2018"	"1WK"	"2"	"2"	"2018"	"LO"	"1"
"SRATG"	2.92307692307692	1.328125	8	"1WK_2_2_2018"	"1WK"	"2"	"2"	"2018"	"LO"	"1"
"BNDVI"	0.438066465256798	0.108695652173913	0.73410587546645	"1WK_2_3_2017"	"1WK"	"2"	"3"	"2017"	"LO"	"1"
"BWDR"	-0.592465753424658	-0.778741865509761	-0.210522523888978	"1WK_2_3_2017"	"1WK"	"2"	"3"	"2017"	"LO"	"1"
"CHIG"	1.36458333333333	0.191489361702128	5.9375	"1WK_2_3_2017"	"1WK"	"2"	"3"	"2017"	"LO"	"1"
"GNDVI"	0.405572755417957	0.087378640776699	0.748031496062992	"1WK_2_3_2017"	"1WK"	"2"	"3"	"2017"	"LO"	"1"
"SRATG"	2.36458333333333	1.19148936170213	6.9375	"1WK_2_3_2017"	"1WK"	"2"	"3"	"2017"	"LO"	"1"
"BNDVI"	0.52	0.2	0.783783783783784	"1WK_2_3_2018"	"1WK"	"2"	"3"	"2018"	"LO"	"1"
"BWDR"	-0.518987341772152	-0.739130434782609	-0.0958904109589041	"1WK_2_3_2018"	"1WK"	"2"	"3"	"2018"	"LO"	"1"
"CHIG"	2	0.37162069856742	6.8125	"1WK_2_3_2018"	"1WK"	"2"	"3"	"2018"	"LO"	"1"
"GNDVI"	0.5	0.156694828469022	0.773049645390071	"1WK_2_3_2018"	"1WK"	"2"	"3"	"2018"	"LO"	"1"
"SRATG"	3	1.37162069856742	7.8125	"1WK_2_3_2018"	"1WK"	"2"	"3"	"2018"	"LO"	"1"
"BNDVI"	0.426791277258567	0.0365853658536585	0.737373737373737	"1WK_2_4_2017"	"1WK"	"2"	"4"	"2017"	"LO"	"1"
"BWDR"	-0.601392515230635	-0.805714285714286	-0.203703703703704	"1WK_2_4_2017"	"1WK"	"2"	"4"	"2017"	"LO"	"1"
"CHIG"	1.34782608695652	0.0326530612244897	6.5	"1WK_2_4_2017"	"1WK"	"2"	"4"	"2017"	"LO"	"1"
"GNDVI"	0.402597402597403	0.0160642570281124	0.764705882352941	"1WK_2_4_2017"	"1WK"	"2"	"4"	"2017"	"LO"	"1"
"SRATG"	2.34782608695652	1.03265306122449	7.5	"1WK_2_4_2017"	"1WK"	"2"	"4"	"2017"	"LO"	"1"
"BNDVI"	0.5625	0.279279279279279	0.82051282051282	"1WK_2_4_2018"	"1WK"	"2"	"4"	"2018"	"LO"	"1"
"BWDR"	-0.473684210526316	-0.698513800424628	0.00709219858156032	"1WK_2_4_2018"	"1WK"	"2"	"4"	"2018"	"LO"	"1"
"CHIG"	2.54870335230867	0.590602705702056	6.95	"1WK_2_4_2018"	"1WK"	"2"	"4"	"2018"	"LO"	"1"
"GNDVI"	0.560314257764735	0.227978880892011	0.776536312849162	"1WK_2_4_2018"	"1WK"	"2"	"4"	"2018"	"LO"	"1"
"SRATG"	3.54870335230867	1.59060270570206	7.95	"1WK_2_4_2018"	"1WK"	"2"	"4"	"2018"	"LO"	"1"
"BNDVI"	0.465587044534413	0.0539419087136929	0.69047619047619	"1WK_2_5_2017"	"1WK"	"2"	"5"	"2017"	"LO"	"1"
"BWDR"	-0.569560047562426	-0.799526440410418	-0.293532338308458	"1WK_2_5_2017"	"1WK"	"2"	"5"	"2017"	"LO"	"1"
"CHIG"	1.62666666666667	0.0450819672131149	5.41666666666667	"1WK_2_5_2017"	"1WK"	"2"	"5"	"2017"	"LO"	"1"
"GNDVI"	0.448529411764706	0.0220440881763527	0.730337078651685	"1WK_2_5_2017"	"1WK"	"2"	"5"	"2017"	"LO"	"1"
"SRATG"	2.62666666666667	1.04508196721311	6.41666666666667	"1WK_2_5_2017"	"1WK"	"2"	"5"	"2017"	"LO"	"1"
"BNDVI"	0.527777777777778	0.323170731707317	0.73134328358209	"1WK_2_5_2018"	"1WK"	"2"	"5"	"2018"	"LO"	"1"
"BWDR"	-0.511111111111111	-0.672946495855313	-0.216216216216216	"1WK_2_5_2018"	"1WK"	"2"	"5"	"2018"	"LO"	"1"
"CHIG"	2.34426229508197	0.786764705882353	5.90476190476191	"1WK_2_5_2018"	"1WK"	"2"	"5"	"2018"	"LO"	"1"
"GNDVI"	0.539622641509434	0.282321899736148	0.746987951807229	"1WK_2_5_2018"	"1WK"	"2"	"5"	"2018"	"LO"	"1"
"SRATG"	3.34426229508197	1.78676470588235	6.90476190476191	"1WK_2_5_2018"	"1WK"	"2"	"5"	"2018"	"LO"	"1"
"BNDVI"	0.508771929824561	0.192307692307692	0.747572815533981	"1WK_3_1_2017"	"1WK"	"3"	"1"	"2017"	"HI"	"1"
"BWDR"	-0.530054644808743	-0.742738589211618	-0.181818181818182	"1WK_3_1_2017"	"1WK"	"3"	"1"	"2017"	"HI"	"1"
"CHIG"	1.82539682539683	0.356382978723404	5.73913043478261	"1WK_3_1_2017"	"1WK"	"3"	"1"	"2017"	"HI"	"1"
"GNDVI"	0.477178423236515	0.151241534988713	0.741573033707865	"1WK_3_1_2017"	"1WK"	"3"	"1"	"2017"	"HI"	"1"
"SRATG"	2.82539682539683	1.3563829787234	6.73913043478261	"1WK_3_1_2017"	"1WK"	"3"	"1"	"2017"	"HI"	"1"
"BNDVI"	0.488789237668161	0.186046511627907	0.779661016949153	"1WK_3_1_2018"	"1WK"	"3"	"1"	"2018"	"HI"	"1"
"BWDR"	-0.548913043478261	-0.745635910224439	-0.106382978723404	"1WK_3_1_2018"	"1WK"	"3"	"1"	"2018"	"HI"	"1"
"CHIG"	1.72727272727273	0.356381450232331	7.11111111111111	"1WK_3_1_2018"	"1WK"	"3"	"1"	"2018"	"HI"	"1"
"GNDVI"	0.463414634146341	0.151240984418874	0.780487804878049	"1WK_3_1_2018"	"1WK"	"3"	"1"	"2018"	"HI"	"1"
"SRATG"	2.72727272727273	1.35638145023233	8.11111111111111	"1WK_3_1_2018"	"1WK"	"3"	"1"	"2018"	"HI"	"1"
"BNDVI"	0.413427561837456	0.0658174097664544	0.694915254237288	"1WK_3_2_2017"	"1WK"	"3"	"2"	"2017"	"HI"	"1"
"BWDR"	-0.611650485436893	-0.795185638514892	-0.285714285714286	"1WK_3_2_2017"	"1WK"	"3"	"2"	"2017"	"HI"	"1"
"CHIG"	1.30851063829787	0.094420600858369	5.4	"1WK_3_2_2017"	"1WK"	"3"	"2"	"2017"	"HI"	"1"
"GNDVI"	0.395498392282958	0.0450819672131148	0.72972972972973	"1WK_3_2_2017"	"1WK"	"3"	"2"	"2017"	"HI"	"1"
"SRATG"	2.30851063829787	1.09442060085837	6.4	"1WK_3_2_2017"	"1WK"	"3"	"2"	"2017"	"HI"	"1"
"BNDVI"	0.5	0.196078431372549	0.764705882352941	"1WK_3_2_2018"	"1WK"	"3"	"2"	"2018"	"HI"	"1"
"BWDR"	-0.538461538461538	-0.740976645435244	-0.142857142857143	"1WK_3_2_2018"	"1WK"	"3"	"2"	"2018"	"HI"	"1"
"CHIG"	1.81632653061224	0.370588235294118	6.84624999999987	"1WK_3_2_2018"	"1WK"	"3"	"2"	"2018"	"HI"	"1"
"GNDVI"	0.475935828877005	0.156327543424318	0.773915499877177	"1WK_3_2_2018"	"1WK"	"3"	"2"	"2018"	"HI"	"1"
"SRATG"	2.81632653061224	1.37058823529412	7.84624999999987	"1WK_3_2_2018"	"1WK"	"3"	"2"	"2018"	"HI"	"1"
"BNDVI"	0.43859649122807	0.0669456066945607	0.818181818181818	"1WK_3_3_2017"	"1WK"	"3"	"3"	"2017"	"HI"	"1"
"BWDR"	-0.592039800995025	-0.79476861167002	0	"1WK_3_3_2017"	"1WK"	"3"	"3"	"2017"	"HI"	"1"
"CHIG"	1.38271604938272	0.0822510822510822	9.33333333333333	"1WK_3_3_2017"	"1WK"	"3"	"3"	"2017"	"HI"	"1"
"GNDVI"	0.408759124087591	0.0395010395010395	0.823529411764706	"1WK_3_3_2017"	"1WK"	"3"	"3"	"2017"	"HI"	"1"
"SRATG"	2.38271604938272	1.08225108225108	10.3333333333333	"1WK_3_3_2017"	"1WK"	"3"	"3"	"2017"	"HI"	"1"
"BNDVI"	0.522727272727273	0.178147268408551	0.794392523364486	"1WK_3_3_2018"	"1WK"	"3"	"3"	"2018"	"HI"	"1"
"BWDR"	-0.516245487364621	-0.749241658240647	-0.0679611650485436	"1WK_3_3_2018"	"1WK"	"3"	"3"	"2018"	"HI"	"1"
"CHIG"	1.79365079365079	0.31638418079096	6.29411764705882	"1WK_3_3_2018"	"1WK"	"3"	"3"	"2018"	"HI"	"1"
"GNDVI"	0.472803347280335	0.136585365853659	0.75886524822695	"1WK_3_3_2018"	"1WK"	"3"	"3"	"2018"	"HI"	"1"
"SRATG"	2.79365079365079	1.31638418079096	7.29411764705882	"1WK_3_3_2018"	"1WK"	"3"	"3"	"2018"	"HI"	"1"
"BNDVI"	0.472222222222222	0.00196463654223969	0.74390243902439	"1WK_3_4_2017"	"1WK"	"3"	"4"	"2017"	"HI"	"1"
"BWDR"	-0.563786008230453	-0.817531305903399	-0.189801699716714	"1WK_3_4_2017"	"1WK"	"3"	"4"	"2017"	"HI"	"1"
"CHIG"	1.80281690140845	0.0283400809716599	7.5	"1WK_3_4_2017"	"1WK"	"3"	"4"	"2017"	"HI"	"1"
"GNDVI"	0.474074074074074	0.0139720558882236	0.789473684210526	"1WK_3_4_2017"	"1WK"	"3"	"4"	"2017"	"HI"	"1"
"SRATG"	2.80281690140845	1.02834008097166	8.5	"1WK_3_4_2017"	"1WK"	"3"	"4"	"2017"	"HI"	"1"
"BNDVI"	0.511450381679389	0.204676677283988	0.824817518248175	"1WK_3_4_2018"	"1WK"	"3"	"4"	"2018"	"HI"	"1"
"BWDR"	-0.527446300715991	-0.736910126853922	0.0204081632653061	"1WK_3_4_2018"	"1WK"	"3"	"4"	"2018"	"HI"	"1"
"CHIG"	1.7258064516129	0.374193548387097	7.8125	"1WK_3_4_2018"	"1WK"	"3"	"4"	"2018"	"HI"	"1"
"GNDVI"	0.463203463203463	0.157608695652174	0.796178343949045	"1WK_3_4_2018"	"1WK"	"3"	"4"	"2018"	"HI"	"1"
"SRATG"	2.7258064516129	1.3741935483871	8.8125	"1WK_3_4_2018"	"1WK"	"3"	"4"	"2018"	"HI"	"1"
"BNDVI"	0.497076023391813	0.0210970464135021	0.84	"1WK_3_5_2017"	"1WK"	"3"	"5"	"2017"	"HI"	"1"
"BWDR"	-0.541218637992832	-0.811085089773614	0.0697674418604651	"1WK_3_5_2017"	"1WK"	"3"	"5"	"2017"	"HI"	"1"
"CHIG"	1.95945945945946	0.0283400809716599	11.375	"1WK_3_5_2017"	"1WK"	"3"	"5"	"2017"	"HI"	"1"
"GNDVI"	0.494880546075085	0.0139720558882236	0.850467289719626	"1WK_3_5_2017"	"1WK"	"3"	"5"	"2017"	"HI"	"1"
"SRATG"	2.95945945945946	1.02834008097166	12.375	"1WK_3_5_2017"	"1WK"	"3"	"5"	"2017"	"HI"	"1"
"BNDVI"	0.523809523809524	0.187817258883249	0.829268292682927	"1WK_3_5_2018"	"1WK"	"3"	"5"	"2018"	"HI"	"1"
"BWDR"	-0.515151515151515	-0.744820065430752	0.0344827586206897	"1WK_3_5_2018"	"1WK"	"3"	"5"	"2018"	"HI"	"1"
"CHIG"	1.76119402985075	0.335078534031414	7.87518382352915	"1WK_3_5_2018"	"1WK"	"3"	"5"	"2018"	"HI"	"1"
"GNDVI"	0.468253968253968	0.143497757847534	0.797472121760091	"1WK_3_5_2018"	"1WK"	"3"	"5"	"2018"	"HI"	"1"
"SRATG"	2.76119402985075	1.33507853403141	8.87518382352916	"1WK_3_5_2018"	"1WK"	"3"	"5"	"2018"	"HI"	"1"
"BNDVI"	0.550335570469799	0.0977777777777778	0.805555555555556	"1WK_4_1_2017"	"1WK"	"4"	"1"	"2017"	"NO"	"2"
"BWDR"	-0.487236403995561	-0.783047870004392	-0.037037037037037	"1WK_4_1_2017"	"1WK"	"4"	"1"	"2017"	"NO"	"2"
"CHIG"	1.27956989247312	0.0851063829787233	3.9375	"1WK_4_1_2017"	"1WK"	"4"	"1"	"2017"	"NO"	"2"
"GNDVI"	0.390163934426229	0.0408163265306122	0.663157894736842	"1WK_4_1_2017"	"1WK"	"4"	"1"	"2017"	"NO"	"2"
"SRATG"	2.27956989247312	1.08510638297872	4.9375	"1WK_4_1_2017"	"1WK"	"4"	"1"	"2017"	"NO"	"2"
"BNDVI"	0.491039426523298	0.238095238095238	0.67741935483871	"1WK_4_1_2018"	"1WK"	"4"	"1"	"2018"	"NO"	"2"
"BWDR"	-0.546840958605665	-0.720430107526882	-0.315789473684211	"1WK_4_1_2018"	"1WK"	"4"	"1"	"2018"	"NO"	"2"
"CHIG"	2.1969696969697	0.435582822085889	4.67857142857143	"1WK_4_1_2018"	"1WK"	"4"	"1"	"2018"	"NO"	"2"
"GNDVI"	0.523465703971119	0.178841309823678	0.700534759358289	"1WK_4_1_2018"	"1WK"	"4"	"1"	"2018"	"NO"	"2"
"SRATG"	3.1969696969697	1.43558282208589	5.67857142857143	"1WK_4_1_2018"	"1WK"	"4"	"1"	"2018"	"NO"	"2"
"BNDVI"	0.540425531914894	0.0743099787685775	0.837837837837838	"1WK_4_2_2017"	"1WK"	"4"	"2"	"2017"	"NO"	"2"
"BWDR"	-0.497919556171983	-0.792026304973284	0.0625000000000001	"1WK_4_2_2017"	"1WK"	"4"	"2"	"2017"	"NO"	"2"
"CHIG"	1.26086956521739	0.0450819672131149	4.75	"1WK_4_2_2017"	"1WK"	"4"	"2"	"2017"	"NO"	"2"
"GNDVI"	0.386666666666667	0.0220440881763527	0.703703703703704	"1WK_4_2_2017"	"1WK"	"4"	"2"	"2017"	"NO"	"2"
"SRATG"	2.26086956521739	1.04508196721311	5.75	"1WK_4_2_2017"	"1WK"	"4"	"2"	"2017"	"NO"	"2"
"BNDVI"	0.484320557491289	0.242506811989101	0.645569620253165	"1WK_4_2_2018"	"1WK"	"4"	"2"	"2018"	"NO"	"2"
"BWDR"	-0.55299055613851	-0.718170580964153	-0.365853658536585	"1WK_4_2_2018"	"1WK"	"4"	"2"	"2018"	"NO"	"2"
"CHIG"	2.25806451612903	0.406060606060606	4.54545454545455	"1WK_4_2_2018"	"1WK"	"4"	"2"	"2018"	"NO"	"2"
"GNDVI"	0.53030303030303	0.168765743073048	0.694444444444444	"1WK_4_2_2018"	"1WK"	"4"	"2"	"2018"	"NO"	"2"
"SRATG"	3.25806451612903	1.40606060606061	5.54545454545455	"1WK_4_2_2018"	"1WK"	"4"	"2"	"2018"	"NO"	"2"
"BNDVI"	0.540425531914894	0.0478170478170478	0.836065573770492	"1WK_4_3_2017"	"1WK"	"4"	"3"	"2017"	"NO"	"2"
"BWDR"	-0.497919556171983	-0.801730920535012	0.0566037735849057	"1WK_4_3_2017"	"1WK"	"4"	"3"	"2017"	"NO"	"2"
"CHIG"	1.10377358490566	0.0323886639676114	3.87878787878788	"1WK_4_3_2017"	"1WK"	"4"	"3"	"2017"	"NO"	"2"
"GNDVI"	0.355623100303951	0.0159362549800797	0.65979381443299	"1WK_4_3_2017"	"1WK"	"4"	"3"	"2017"	"NO"	"2"
"SRATG"	2.10377358490566	1.03238866396761	4.87878787878788	"1WK_4_3_2017"	"1WK"	"4"	"3"	"2017"	"NO"	"2"
"BNDVI"	0.520325203252033	0.313019390581717	0.725	"1WK_4_3_2018"	"1WK"	"4"	"3"	"2018"	"NO"	"2"
"BWDR"	-0.518661518661519	-0.679079214624238	-0.229050279329609	"1WK_4_3_2018"	"1WK"	"4"	"3"	"2018"	"NO"	"2"
"CHIG"	2.3125	0.80327868852459	5.26086956521739	"1WK_4_3_2018"	"1WK"	"4"	"3"	"2018"	"NO"	"2"
"GNDVI"	0.536231884057971	0.286549707602339	0.724550898203593	"1WK_4_3_2018"	"1WK"	"4"	"3"	"2018"	"NO"	"2"
"SRATG"	3.3125	1.80327868852459	6.26086956521739	"1WK_4_3_2018"	"1WK"	"4"	"3"	"2018"	"NO"	"2"
"BNDVI"	0.555555555555556	0.0669456066945607	0.865853658536585	"1WK_4_4_2017"	"1WK"	"4"	"4"	"2017"	"NO"	"2"
"BWDR"	-0.481481481481481	-0.79476861167002	0.163498098859316	"1WK_4_4_2017"	"1WK"	"4"	"4"	"2017"	"NO"	"2"
"CHIG"	1.26666666666667	0.0283400809716599	4.63636363636364	"1WK_4_4_2017"	"1WK"	"4"	"4"	"2017"	"NO"	"2"
"GNDVI"	0.387755102040816	0.0139720558882236	0.698630136986301	"1WK_4_4_2017"	"1WK"	"4"	"4"	"2017"	"NO"	"2"
"SRATG"	2.26666666666667	1.02834008097166	5.63636363636364	"1WK_4_4_2017"	"1WK"	"4"	"4"	"2017"	"NO"	"2"
"BNDVI"	0.539823008849557	0.325779036827195	0.792207792207792	"1WK_4_4_2018"	"1WK"	"4"	"4"	"2018"	"NO"	"2"
"BWDR"	-0.498559077809798	-0.671348314606741	-0.0738255033557047	"1WK_4_4_2018"	"1WK"	"4"	"4"	"2018"	"NO"	"2"
"CHIG"	2.2741935483871	0.706420198048638	6.6	"1WK_4_4_2018"	"1WK"	"4"	"4"	"2018"	"NO"	"2"
"GNDVI"	0.532075471698113	0.261016452109946	0.767441860465116	"1WK_4_4_2018"	"1WK"	"4"	"4"	"2018"	"NO"	"2"
"SRATG"	3.2741935483871	1.70642019804864	7.6	"1WK_4_4_2018"	"1WK"	"4"	"4"	"2018"	"NO"	"2"
"BNDVI"	0.528089887640449	0.0851063829787234	0.845070422535211	"1WK_4_5_2017"	"1WK"	"4"	"5"	"2017"	"NO"	"2"
"BWDR"	-0.510791366906475	-0.787941787941788	0.087136929460581	"1WK_4_5_2017"	"1WK"	"4"	"5"	"2017"	"NO"	"2"
