"Plot"	"Block"	"Treatment"	"GrazeTime"	"Sample"	"Intial"	"Final"	"Count"	"Trample"	"Graze"
"5"	"2"	"LO"	"1WK"	"1"	14407	14484	5	20	70
"5"	"2"	"LO"	"4WK"	"1"	58065	58210	5	70	30
"5"	"2"	"LO"	"PRE"	"2"	26313	26473	5	0	0
"5"	"2"	"LO"	"24H"	"2"	69565	69718	5	30	0
"5"	"2"	"LO"	"1WK"	"2"	14484	14584	5	40	40
"5"	"2"	"LO"	"4WK"	"2"	58210	58345	5	20	20
"5"	"2"	"LO"	"PRE"	"3"	26532	26666	5	0	0
"5"	"2"	"LO"	"24H"	"3"	69759	69889	5	10	10
"5"	"2"	"LO"	"1WK"	"3"	14584	14691	5	80	10
"5"	"2"	"LO"	"4WK"	"3"	58345	58485	5	5	40
"5"	"2"	"LO"	"PRE"	"4"	26690	26833	5	0	0
"5"	"2"	"LO"	"24H"	"4"	69943	70044	5	10	40
"5"	"2"	"LO"	"1WK"	"4"	14691	14825	5	0	30
"5"	"2"	"LO"	"4WK"	"4"	58485	58560	5	10	60
"5"	"2"	"LO"	"PRE"	"5"	26877	27046	5	0	0
"5"	"2"	"LO"	"24H"	"5"	70067	70222	5	0	0
"5"	"2"	"LO"	"1WK"	"5"	14825	14946	5	20	20
"5"	"2"	"LO"	"4WK"	"5"	58560	58736	5	10	60
"6"	"2"	"HI"	"PRE"	"1"	27186	27310	5	0	0
"6"	"2"	"HI"	"24H"	"1"	70743	70846	5	80	0
"6"	"2"	"HI"	"1WK"	"1"	18270	18343	5	20	80
"6"	"2"	"HI"	"4WK"	"1"	62311	62376	5	10	50
"6"	"2"	"HI"	"PRE"	"2"	27317	27437	5	0	0
"6"	"2"	"HI"	"24H"	"2"	70680	70743	5	90	70
"6"	"2"	"HI"	"1WK"	"2"	18343	18439	5	10	90
"6"	"2"	"HI"	"4WK"	"2"	62196	62289	5	90	0
"6"	"2"	"HI"	"PRE"	"3"	27459	27575	5	0	0
"6"	"2"	"HI"	"24H"	"3"	70519	70651	5	40	20
"6"	"2"	"HI"	"1WK"	"3"	18439	18553	5	40	80
"6"	"2"	"HI"	"4WK"	"3"	62376	62497	5	30	5
"6"	"2"	"HI"	"PRE"	"4"	27865	28081	5	0	0
"6"	"2"	"HI"	"24H"	"4"	70361	70484	5	30	70
"6"	"2"	"HI"	"1WK"	"4"	18553	18672	5	30	40
"6"	"2"	"HI"	"4WK"	"4"	62497	62614	5	20	60
"6"	"2"	"HI"	"PRE"	"5"	28081	28248	5	0	0
"6"	"2"	"HI"	"24H"	"5"	70027	70343	5	20	80
"6"	"2"	"HI"	"1WK"	"5"	18672	18811	5	20	60
"6"	"2"	"HI"	"4WK"	"5"	62614	62754	5	40	30
"7"	"3"	"LO"	"PRE"	"1"	28261	28384	5	0	0
"7"	"3"	"LO"	"24H"	"1"	57835	58009	5	0	40
"7"	"3"	"LO"	"1WK"	"1"	269	337	5	NA	NA
"7"	"3"	"LO"	"4WK"	"1"	40329	40460	5	60	20
"7"	"3"	"LO"	"PRE"	"2"	28384	28485	5	0	0
"7"	"3"	"LO"	"24H"	"2"	58009	58107	5	10	40
"7"	"3"	"LO"	"1WK"	"2"	99969	100042	5	40	40
"7"	"3"	"LO"	"4WK"	"2"	40460	40514	5	20	50
"7"	"3"	"LO"	"PRE"	"3"	28485	28614	5	0	0
"7"	"3"	"LO"	"24H"	"3"	58107	58256	5	10	0
"7"	"3"	"LO"	"1WK"	"3"	42	111	5	40	50
"7"	"3"	"LO"	"4WK"	"3"	40514	40554	5	0	0
"7"	"3"	"LO"	"PRE"	"4"	28614	28718	5	0	0
"7"	"3"	"LO"	"24H"	"4"	58257	58414	5	20	30
"7"	"3"	"LO"	"1WK"	"4"	111	168	5	80	50
"7"	"3"	"LO"	"4WK"	"4"	40554	40672	5	20	80
"7"	"3"	"LO"	"PRE"	"5"	28718	28858	5	0	0
"7"	"3"	"LO"	"24H"	"5"	58414	58558	5	10	0
"7"	"3"	"LO"	"1WK"	"5"	168	269	5	20	40
"7"	"3"	"LO"	"4WK"	"5"	40672	40749	5	10	70
"8"	"3"	"NO"	"PRE"	"1"	28879	29090	5	0	0
"8"	"3"	"NO"	"24H"	"1"	61901	61988	5	0	0
"8"	"3"	"NO"	"1WK"	"1"	3085	3257	5	0	0
"8"	"3"	"NO"	"4WK"	"1"	43806	43900	5	0	0
"8"	"3"	"NO"	"PRE"	"2"	29090	29235	5	0	0
"8"	"3"	"NO"	"24H"	"2"	62039	62179	5	0	0
"8"	"3"	"NO"	"1WK"	"2"	3257	3394	5	0	0
"8"	"3"	"NO"	"4WK"	"2"	43900	44045	5	0	0
"8"	"3"	"NO"	"PRE"	"3"	29235	29324	5	0	0
"8"	"3"	"NO"	"24H"	"3"	62179	62303	5	0	0
"8"	"3"	"NO"	"1WK"	"3"	3394	3522	5	0	0
"8"	"3"	"NO"	"4WK"	"3"	44045	44171	5	0	0
"8"	"3"	"NO"	"PRE"	"4"	29324	29448	5	0	0
"8"	"3"	"NO"	"24H"	"4"	62304	62418	5	0	0
"8"	"3"	"NO"	"1WK"	"4"	2975	3085	5	0	0
"8"	"3"	"NO"	"4WK"	"4"	44171	44409	5	0	0
"8"	"3"	"NO"	"PRE"	"5"	29448	29639	5	0	0
"8"	"3"	"NO"	"24H"	"5"	62418	62599	5	0	0
"8"	"3"	"NO"	"1WK"	"5"	2839	2975	5	0	0
"8"	"3"	"NO"	"4WK"	"5"	44409	44653	5	0	0
"9"	"3"	"HI"	"PRE"	"1"	29639	29824	5	0	0
"9"	"3"	"HI"	"24H"	"1"	65656	65784	5	30	10
"9"	"3"	"HI"	"1WK"	"1"	6638	6718	5	20	90
"9"	"3"	"HI"	"4WK"	"1"	52988	53145	5	70	0
"9"	"3"	"HI"	"PRE"	"2"	29824	29968	5	0	0
"9"	"3"	"HI"	"24H"	"2"	65784	65857	5	0	60
"9"	"3"	"HI"	"1WK"	"2"	6542	6638	5	0	30
"9"	"3"	"HI"	"4WK"	"2"	53145	53268	5	20	20
"9"	"3"	"HI"	"PRE"	"3"	29968	30098	5	0	0
"9"	"3"	"HI"	"24H"	"3"	65857	65971	5	40	80
"9"	"3"	"HI"	"1WK"	"3"	6448	6542	5	10	80
"9"	"3"	"HI"	"4WK"	"3"	53268	53356	5	30	5
"9"	"3"	"HI"	"PRE"	"4"	30098	30201	5	0	0
"9"	"3"	"HI"	"24H"	"4"	65971	66064	5	10	80
"9"	"3"	"HI"	"1WK"	"4"	6355	6448	5	10	10
"9"	"3"	"HI"	"4WK"	"4"	53356	53453	5	5	5
"9"	"3"	"HI"	"PRE"	"5"	30201	30411	5	0	0
"9"	"3"	"HI"	"24H"	"5"	66064	66151	5	40	90
"9"	"3"	"HI"	"1WK"	"5"	6256	6355	5	20	20
"9"	"3"	"HI"	"4WK"	"5"	53453	53555	5	5	0
"10"	"4"	"HI"	"PRE"	"1"	38350	38451	5	0	0
"10"	"4"	"HI"	"24H"	"1"	89986	90037	5	0	90
"10"	"4"	"HI"	"1WK"	"1"	29896	29944	5	50	30
"10"	"4"	"HI"	"4WK"	"1"	73558	73661	5	0	80
"10"	"4"	"HI"	"PRE"	"2"	38473	38607	5	0	0
"10"	"4"	"HI"	"24H"	"2"	90082	90146	5	40	60
"10"	"4"	"HI"	"1WK"	"2"	29838	29896	5	20	80
"10"	"4"	"HI"	"4WK"	"2"	73661	73735	5	0	5
"10"	"4"	"HI"	"PRE"	"3"	38619	38742	5	0	0
"10"	"4"	"HI"	"24H"	"3"	90178	90229	5	0	80
"10"	"4"	"HI"	"1WK"	"3"	29728	29838	5	20	30
"10"	"4"	"HI"	"4WK"	"3"	73735	73829	5	50	0
"10"	"4"	"HI"	"PRE"	"4"	38766	38862	5	0	0
"10"	"4"	"HI"	"24H"	"4"	90254	90316	5	10	80
"10"	"4"	"HI"	"1WK"	"4"	29611	29728	5	30	20
"10"	"4"	"HI"	"4WK"	"4"	73829	73909	5	5	10
"10"	"4"	"HI"	"PRE"	"5"	38886	39003	5	0	0
"10"	"4"	"HI"	"24H"	"5"	90316	90392	5	0	90
"10"	"4"	"HI"	"1WK"	"5"	29507	29611	5	10	40
"10"	"4"	"HI"	"4WK"	"5"	73909	74026	5	10	40
"11"	"4"	"LO"	"PRE"	"1"	39056	39193	5	0	0
"11"	"4"	"LO"	"24H"	"1"	87374	87466	5	0	0
"11"	"4"	"LO"	"1WK"	"1"	27324	27399	5	50	50
"11"	"4"	"LO"	"4WK"	"1"	71207	71288	5	50	50
"11"	"4"	"LO"	"PRE"	"2"	39208	39283	5	0	0
"11"	"4"	"LO"	"24H"	"2"	87466	87555	5	10	0
"11"	"4"	"LO"	"1WK"	"2"	27261	27324	5	30	80
"11"	"4"	"LO"	"4WK"	"2"	71288	71338	5	90	50
"11"	"4"	"LO"	"PRE"	"3"	39292	39381	5	0	0
"11"	"4"	"LO"	"24H"	"3"	87629	87736	5	0	10
"11"	"4"	"LO"	"1WK"	"3"	27168	27261	5	10	40
"11"	"4"	"LO"	"4WK"	"3"	71338	71399	5	40	30
"11"	"4"	"LO"	"PRE"	"4"	39392	39491	5	0	0
"11"	"4"	"LO"	"24H"	"4"	87798	87892	5	10	10
"11"	"4"	"LO"	"1WK"	"4"	27068	27168	5	60	20
"11"	"4"	"LO"	"4WK"	"4"	71399	71480	5	30	50
"11"	"4"	"LO"	"PRE"	"5"	39497	39621	5	0	0
"11"	"4"	"LO"	"24H"	"5"	87937	88026	5	40	0
"11"	"4"	"LO"	"1WK"	"5"	26970	27068	5	60	10
"11"	"4"	"LO"	"4WK"	"5"	71480	71613	5	40	50
"12"	"4"	"NO"	"PRE"	"1"	39639	39769	5	0	0
"12"	"4"	"NO"	"24H"	"1"	84156	84240	5	0	0
"12"	"4"	"NO"	"1WK"	"1"	24817	24914	5	0	0
"12"	"4"	"NO"	"4WK"	"1"	66648	66761	5	0	0
"12"	"4"	"NO"	"PRE"	"2"	39798	39949	5	0	0
"12"	"4"	"NO"	"24H"	"2"	84240	84324	5	0	0
"12"	"4"	"NO"	"1WK"	"2"	24914	25025	5	0	0
"12"	"4"	"NO"	"4WK"	"2"	66761	66993	5	0	0
"12"	"4"	"NO"	"PRE"	"3"	39999	40199	5	0	0
"12"	"4"	"NO"	"24H"	"3"	84324	84483	5	0	0
"12"	"4"	"NO"	"1WK"	"3"	25025	25156	5	0	0
"12"	"4"	"NO"	"4WK"	"3"	66993	67179	5	0	0
"12"	"4"	"NO"	"PRE"	"4"	40199	40385	5	0	0
"12"	"4"	"NO"	"24H"	"4"	84483	84644	5	0	0
"12"	"4"	"NO"	"1WK"	"4"	25156	25364	5	0	0
"12"	"4"	"NO"	"4WK"	"4"	67179	67362	5	0	0
"12"	"4"	"NO"	"PRE"	"5"	40385	40495	5	0	0
"12"	"4"	"NO"	"24H"	"5"	84644	84798	5	0	0
"12"	"4"	"NO"	"1WK"	"5"	25364	25410	5	0	0
"12"	"4"	"NO"	"4WK"	"5"	67362	67542	5	0	0
