"Plot"	"Treatment"	"Block"	"GrazeTime"	"Substrate"	"Enzyme_nm_g_hr"
5	"LO"	2	"4WK"	"LAP"	600.606553
5	"LO"	2	"4WK"	"NAG"	16.35783222
5	"LO"	2	"4WK"	"PER1"	1.981712372
5	"LO"	2	"4WK"	"PEROX"	0.2210644
5	"LO"	2	"4WK"	"PHENOX"	0
5	"LO"	2	"4WK"	"PHOS"	0
6	"HI"	2	"PRE"	"AG"	109.3120371
6	"HI"	2	"PRE"	"BG"	459.2464046
6	"HI"	2	"PRE"	"BX"	97.93024005
6	"HI"	2	"PRE"	"CBH"	62.67520808
6	"HI"	2	"PRE"	"LAP"	929.8302868
6	"HI"	2	"PRE"	"NAG"	42.45735487
6	"HI"	2	"PRE"	"PER1"	0.214286809
6	"HI"	2	"PRE"	"PEROX"	1.930341057
6	"HI"	2	"PRE"	"PHENOX"	1.716054248
6	"HI"	2	"PRE"	"PHOS"	3.566270743
6	"HI"	2	"24H"	"AG"	84.97871028
6	"HI"	2	"24H"	"BG"	425.8689363
6	"HI"	2	"24H"	"BX"	119.6158601
6	"HI"	2	"24H"	"CBH"	79.47593789
6	"HI"	2	"24H"	"LAP"	811.5070401
6	"HI"	2	"24H"	"NAG"	44.27198909
6	"HI"	2	"24H"	"PER1"	1.066166505
6	"HI"	2	"24H"	"PEROX"	1.718252825
6	"HI"	2	"24H"	"PHENOX"	0.65208632
6	"HI"	2	"24H"	"PHOS"	0
6	"HI"	2	"1WK"	"AG"	60.09828198
6	"HI"	2	"1WK"	"BG"	432.9195907
6	"HI"	2	"1WK"	"BX"	98.54284628
6	"HI"	2	"1WK"	"CBH"	46.60723358
6	"HI"	2	"1WK"	"LAP"	852.6231424
6	"HI"	2	"1WK"	"NAG"	22.25540268
6	"HI"	2	"1WK"	"PER1"	2.400537569
6	"HI"	2	"1WK"	"PEROX"	3.720635536
6	"HI"	2	"1WK"	"PHENOX"	1.320097967
6	"HI"	2	"1WK"	"PHOS"	1.506977515
6	"HI"	2	"4WK"	"AG"	71.19910142
6	"HI"	2	"4WK"	"BG"	371.6382803
6	"HI"	2	"4WK"	"BX"	84.54181329
6	"HI"	2	"4WK"	"CBH"	58.61427151
6	"HI"	2	"4WK"	"LAP"	985.5399402
6	"HI"	2	"4WK"	"NAG"	27.090098
6	"HI"	2	"4WK"	"PER1"	1.769076098
6	"HI"	2	"4WK"	"PEROX"	1.61731513
6	"HI"	2	"4WK"	"PHENOX"	0
6	"HI"	2	"4WK"	"PHOS"	30.63847152
7	"LO"	3	"PRE"	"AG"	84.03722654
7	"LO"	3	"PRE"	"BG"	555.3599961
7	"LO"	3	"PRE"	"BX"	122.6488099
7	"LO"	3	"PRE"	"CBH"	70.61259831
7	"LO"	3	"PRE"	"LAP"	812.3764169
7	"LO"	3	"PRE"	"NAG"	46.89543926
7	"LO"	3	"PRE"	"PER1"	0.031750666
7	"LO"	3	"PRE"	"PEROX"	1.641042753
7	"LO"	3	"PRE"	"PHENOX"	1.609292087
7	"LO"	3	"PRE"	"PHOS"	2.146930856
7	"LO"	3	"24H"	"AG"	82.86132784
7	"LO"	3	"24H"	"BG"	554.9062137
7	"LO"	3	"24H"	"BX"	100.3841888
7	"LO"	3	"24H"	"CBH"	76.64567229
7	"LO"	3	"24H"	"LAP"	807.393139
7	"LO"	3	"24H"	"NAG"	48.95460303
7	"LO"	3	"24H"	"PER1"	1.467738856
7	"LO"	3	"24H"	"PEROX"	2.330040478
7	"LO"	3	"24H"	"PHENOX"	0.862301622
7	"LO"	3	"24H"	"PHOS"	97.379205
7	"LO"	3	"1WK"	"AG"	40.95632387
7	"LO"	3	"1WK"	"BG"	332.7109905
7	"LO"	3	"1WK"	"BX"	74.92949987
7	"LO"	3	"1WK"	"CBH"	51.47017556
7	"LO"	3	"1WK"	"LAP"	806.5743847
7	"LO"	3	"1WK"	"NAG"	13.2932166
7	"LO"	3	"1WK"	"PER1"	2.770858854
7	"LO"	3	"1WK"	"PEROX"	4.841425524
7	"LO"	3	"1WK"	"PHENOX"	2.07056667
7	"LO"	3	"1WK"	"PHOS"	20.40063152
7	"LO"	3	"4WK"	"AG"	47.40638914
7	"LO"	3	"4WK"	"BG"	354.5301402
7	"LO"	3	"4WK"	"BX"	58.9204669
7	"LO"	3	"4WK"	"CBH"	31.97485441
7	"LO"	3	"4WK"	"LAP"	630.7667047
7	"LO"	3	"4WK"	"NAG"	15.55170148
7	"LO"	3	"4WK"	"PER1"	0
7	"LO"	3	"4WK"	"PEROX"	5.537493083
7	"LO"	3	"4WK"	"PHENOX"	5.642617164
7	"LO"	3	"4WK"	"PHOS"	112.4697321
8	"NO"	3	"PRE"	"AG"	96.08522013
8	"NO"	3	"PRE"	"BG"	573.6762856
8	"NO"	3	"PRE"	"BX"	149.8124726
8	"NO"	3	"PRE"	"CBH"	107.6745244
8	"NO"	3	"PRE"	"LAP"	945.9559411
8	"NO"	3	"PRE"	"NAG"	65.07108817
8	"NO"	3	"PRE"	"PER1"	0.607021008
8	"NO"	3	"PRE"	"PEROX"	2.27268962
8	"NO"	3	"PRE"	"PHENOX"	1.665668611
8	"NO"	3	"PRE"	"PHOS"	167.588151
8	"NO"	3	"24H"	"AG"	106.7376571
8	"NO"	3	"24H"	"BG"	485.5517676
8	"NO"	3	"24H"	"BX"	134.7734941
8	"NO"	3	"24H"	"CBH"	93.45471728
8	"NO"	3	"24H"	"LAP"	846.1975032
8	"NO"	3	"24H"	"NAG"	38.66526572
8	"NO"	3	"24H"	"PER1"	3.984316709
8	"NO"	3	"24H"	"PEROX"	4.492952885
8	"NO"	3	"24H"	"PHENOX"	0.508636176
8	"NO"	3	"24H"	"PHOS"	138.7569303
8	"NO"	3	"1WK"	"AG"	56.87847666
8	"NO"	3	"1WK"	"BG"	409.3172095
8	"NO"	3	"1WK"	"BX"	87.45536149
8	"NO"	3	"1WK"	"CBH"	50.1861445
8	"NO"	3	"1WK"	"LAP"	970.9235323
8	"NO"	3	"1WK"	"NAG"	23.14982433
8	"NO"	3	"1WK"	"PER1"	2.746139555
8	"NO"	3	"1WK"	"PEROX"	4.545531222
8	"NO"	3	"1WK"	"PHENOX"	1.799391667
8	"NO"	3	"1WK"	"PHOS"	97.93989373
8	"NO"	3	"4WK"	"AG"	54.8752539
8	"NO"	3	"4WK"	"BG"	407.6548193
8	"NO"	3	"4WK"	"BX"	83.25511073
8	"NO"	3	"4WK"	"CBH"	47.6998318
8	"NO"	3	"4WK"	"LAP"	764.4060776
8	"NO"	3	"4WK"	"NAG"	24.58146882
8	"NO"	3	"4WK"	"PER1"	0
8	"NO"	3	"4WK"	"PEROX"	0.40546001
8	"NO"	3	"4WK"	"PHENOX"	1.608127811
8	"NO"	3	"4WK"	"PHOS"	166.290948
9	"HI"	3	"PRE"	"AG"	93.99707217
9	"HI"	3	"PRE"	"BG"	502.5880791
9	"HI"	3	"PRE"	"BX"	146.6654367
9	"HI"	3	"PRE"	"CBH"	77.0485928
9	"HI"	3	"PRE"	"LAP"	767.3287996
9	"HI"	3	"PRE"	"NAG"	56.50493663
9	"HI"	3	"PRE"	"PER1"	1.693726814
9	"HI"	3	"PRE"	"PEROX"	3.748764836
9	"HI"	3	"PRE"	"PHENOX"	2.055038022
9	"HI"	3	"PRE"	"PHOS"	180.2947367
9	"HI"	3	"24H"	"AG"	93.27094286
9	"HI"	3	"24H"	"BG"	640.6724629
9	"HI"	3	"24H"	"BX"	164.4283956
9	"HI"	3	"24H"	"CBH"	110.6931816
9	"HI"	3	"24H"	"LAP"	721.5459179
9	"HI"	3	"24H"	"NAG"	69.65106819
9	"HI"	3	"24H"	"PER1"	2.042380685
9	"HI"	3	"24H"	"PEROX"	3.062932456
9	"HI"	3	"24H"	"PHENOX"	1.020551772
9	"HI"	3	"24H"	"PHOS"	108.7941224
9	"HI"	3	"1WK"	"AG"	45.64426942
9	"HI"	3	"1WK"	"BG"	367.5312807
9	"HI"	3	"1WK"	"BX"	79.49806849
9	"HI"	3	"1WK"	"CBH"	50.79104173
9	"HI"	3	"1WK"	"LAP"	762.874295
9	"HI"	3	"1WK"	"NAG"	22.3921812
9	"HI"	3	"1WK"	"PER1"	2.810158687
9	"HI"	3	"1WK"	"PEROX"	4.599853036
9	"HI"	3	"1WK"	"PHENOX"	1.789694349
9	"HI"	3	"1WK"	"PHOS"	126.529782
9	"HI"	3	"4WK"	"AG"	66.81086928
9	"HI"	3	"4WK"	"BG"	478.6638046
9	"HI"	3	"4WK"	"BX"	115.834635
9	"HI"	3	"4WK"	"CBH"	80.13311798
9	"HI"	3	"4WK"	"LAP"	727.2726733
9	"HI"	3	"4WK"	"NAG"	37.21839598
9	"HI"	3	"4WK"	"PER1"	2.040815863
9	"HI"	3	"4WK"	"PEROX"	4.262917069
9	"HI"	3	"4WK"	"PHENOX"	2.222101205
9	"HI"	3	"4WK"	"PHOS"	214.6488491
10	"HI"	4	"PRE"	"AG"	0
10	"HI"	4	"PRE"	"BG"	0
10	"HI"	4	"PRE"	"BX"	0
10	"HI"	4	"PRE"	"CBH"	0
10	"HI"	4	"PRE"	"LAP"	0
10	"HI"	4	"PRE"	"NAG"	0
10	"HI"	4	"PRE"	"PER1"	0
10	"HI"	4	"PRE"	"PEROX"	0
10	"HI"	4	"PRE"	"PHENOX"	0
10	"HI"	4	"PRE"	"PHOS"	0
10	"HI"	4	"24H"	"AG"	0
10	"HI"	4	"24H"	"BG"	0
10	"HI"	4	"24H"	"BX"	0
10	"HI"	4	"24H"	"CBH"	0
10	"HI"	4	"24H"	"LAP"	0
10	"HI"	4	"24H"	"NAG"	0
10	"HI"	4	"24H"	"PER1"	0
10	"HI"	4	"24H"	"PEROX"	0
10	"HI"	4	"24H"	"PHENOX"	0
10	"HI"	4	"24H"	"PHOS"	0
10	"HI"	4	"1WK"	"AG"	34.97091145
10	"HI"	4	"1WK"	"BG"	332.088688
10	"HI"	4	"1WK"	"BX"	55.66104449
10	"HI"	4	"1WK"	"CBH"	45.4581919
10	"HI"	4	"1WK"	"LAP"	937.3017014
10	"HI"	4	"1WK"	"NAG"	32.00898638
10	"HI"	4	"1WK"	"PER1"	2.763783043
10	"HI"	4	"1WK"	"PEROX"	4.759257068
10	"HI"	4	"1WK"	"PHENOX"	1.995474025
10	"HI"	4	"1WK"	"PHOS"	132.0139332
10	"HI"	4	"4WK"	"AG"	0
10	"HI"	4	"4WK"	"BG"	0
10	"HI"	4	"4WK"	"BX"	0
10	"HI"	4	"4WK"	"CBH"	0
10	"HI"	4	"4WK"	"LAP"	0
10	"HI"	4	"4WK"	"NAG"	0
10	"HI"	4	"4WK"	"PER1"	0
10	"HI"	4	"4WK"	"PEROX"	0
10	"HI"	4	"4WK"	"PHENOX"	0
10	"HI"	4	"4WK"	"PHOS"	0
11	"LO"	4	"PRE"	"AG"	77.94826573
11	"LO"	4	"PRE"	"BG"	419.1935875
11	"LO"	4	"PRE"	"BX"	120.1520975
11	"LO"	4	"PRE"	"CBH"	48.31626547
11	"LO"	4	"PRE"	"LAP"	872.0164067
11	"LO"	4	"PRE"	"NAG"	66.86394671
11	"LO"	4	"PRE"	"PER1"	1.364026645
11	"LO"	4	"PRE"	"PEROX"	2.705773726
11	"LO"	4	"PRE"	"PHENOX"	1.341747081
11	"LO"	4	"PRE"	"PHOS"	43.64282169
11	"LO"	4	"24H"	"AG"	81.1133946
11	"LO"	4	"24H"	"BG"	451.8004699
11	"LO"	4	"24H"	"BX"	124.7782259
11	"LO"	4	"24H"	"CBH"	73.0522405
11	"LO"	4	"24H"	"LAP"	707.7800464
11	"LO"	4	"24H"	"NAG"	31.26048758
11	"LO"	4	"24H"	"PER1"	2.765141197
11	"LO"	4	"24H"	"PEROX"	4.34344061
11	"LO"	4	"24H"	"PHENOX"	1.578299413
11	"LO"	4	"24H"	"PHOS"	152.8246355
11	"LO"	4	"1WK"	"AG"	38.1714402
11	"LO"	4	"1WK"	"BG"	371.3515787
11	"LO"	4	"1WK"	"BX"	72.20773127
11	"LO"	4	"1WK"	"CBH"	42.55966187
11	"LO"	4	"1WK"	"LAP"	773.8976606
11	"LO"	4	"1WK"	"NAG"	26.32522807
11	"LO"	4	"1WK"	"PER1"	2.496968897
11	"LO"	4	"1WK"	"PEROX"	4.966735608
11	"LO"	4	"1WK"	"PHENOX"	2.469766711
11	"LO"	4	"1WK"	"PHOS"	154.537974
11	"LO"	4	"4WK"	"AG"	75.48456315
11	"LO"	4	"4WK"	"BG"	442.4594092
11	"LO"	4	"4WK"	"BX"	93.92932242
11	"LO"	4	"4WK"	"CBH"	65.31028555
11	"LO"	4	"4WK"	"LAP"	914.7727947
11	"LO"	4	"4WK"	"NAG"	35.13872905
11	"LO"	4	"4WK"	"PER1"	1.731275016
11	"LO"	4	"4WK"	"PEROX"	3.440354198
11	"LO"	4	"4WK"	"PHENOX"	1.709079182
11	"LO"	4	"4WK"	"PHOS"	137.2428122
12	"NO"	4	"PRE"	"AG"	66.81194553
12	"NO"	4	"PRE"	"BG"	387.834941
12	"NO"	4	"PRE"	"BX"	106.5252144
12	"NO"	4	"PRE"	"CBH"	45.8079126
12	"NO"	4	"PRE"	"LAP"	728.7975832
12	"NO"	4	"PRE"	"NAG"	40.40890671
12	"NO"	4	"PRE"	"PER1"	2.232474493
12	"NO"	4	"PRE"	"PEROX"	4.215666423
12	"NO"	4	"PRE"	"PHENOX"	1.983191929
12	"NO"	4	"PRE"	"PHOS"	203.735559
12	"NO"	4	"24H"	"AG"	86.02101127
12	"NO"	4	"24H"	"BG"	555.0310585
12	"NO"	4	"24H"	"BX"	127.512802
12	"NO"	4	"24H"	"CBH"	83.53505826
12	"NO"	4	"24H"	"LAP"	808.0800016
12	"NO"	4	"24H"	"NAG"	49.50148665
12	"NO"	4	"24H"	"PER1"	2.595489188
12	"NO"	4	"24H"	"PEROX"	4.520744909
12	"NO"	4	"24H"	"PHENOX"	1.925255721
12	"NO"	4	"24H"	"PHOS"	202.9051021
12	"NO"	4	"1WK"	"AG"	27.45327453
12	"NO"	4	"1WK"	"BG"	324.8674567
12	"NO"	4	"1WK"	"BX"	56.66853707
12	"NO"	4	"1WK"	"CBH"	30.86727743
12	"NO"	4	"1WK"	"LAP"	870.5521355
12	"NO"	4	"1WK"	"NAG"	25.63516893
12	"NO"	4	"1WK"	"PER1"	2.103525291
12	"NO"	4	"1WK"	"PEROX"	3.714098302
12	"NO"	4	"1WK"	"PHENOX"	1.610573011
12	"NO"	4	"1WK"	"PHOS"	107.2577226
