"GrazeTime"	"Plot"	"Block"	"Treatment"	"Sample"	"Gravmois"
"147"	"1WK"	8	3	"NO"	2	6.05
"148"	"4WK"	8	3	"NO"	2	17.39
"149"	"PRE"	8	3	"NO"	3	7.4
"150"	"24H"	8	3	"NO"	3	7.05
"151"	"1WK"	8	3	"NO"	3	8.28
"152"	"4WK"	8	3	"NO"	3	15.98
"153"	"PRE"	8	3	"NO"	4	5.99
"154"	"24H"	8	3	"NO"	4	8.18
"155"	"1WK"	8	3	"NO"	4	11.16
"156"	"4WK"	8	3	"NO"	4	29.4
"157"	"PRE"	8	3	"NO"	5	5.99
"158"	"24H"	8	3	"NO"	5	16.56
"159"	"1WK"	8	3	"NO"	5	7.54
"160"	"4WK"	8	3	"NO"	5	23.49
"161"	"PRE"	9	3	"HI"	1	6.24
"162"	"24H"	9	3	"HI"	1	10.1
"163"	"1WK"	9	3	"HI"	1	8.65
"164"	"4WK"	9	3	"HI"	1	16.01
"165"	"PRE"	9	3	"HI"	2	5.1
"166"	"24H"	9	3	"HI"	2	8.18
"167"	"1WK"	9	3	"HI"	2	6.44
"168"	"4WK"	9	3	"HI"	2	13.81
"169"	"PRE"	9	3	"HI"	3	5.1
"170"	"24H"	9	3	"HI"	3	10.43
"171"	"1WK"	9	3	"HI"	3	7.14
"172"	"4WK"	9	3	"HI"	3	14.41
"173"	"PRE"	9	3	"HI"	4	5.84
"174"	"24H"	9	3	"HI"	4	12.69
"175"	"1WK"	9	3	"HI"	4	8.56
"176"	"4WK"	9	3	"HI"	4	14.41
"177"	"PRE"	9	3	"HI"	5	18.71
"178"	"24H"	9	3	"HI"	5	22.86
"179"	"1WK"	9	3	"HI"	5	8.03
"180"	"4WK"	9	3	"HI"	5	16.11
"181"	"PRE"	10	4	"HI"	1	5.1
"182"	"24H"	10	4	"HI"	1	6.99
"183"	"1WK"	10	4	"HI"	1	6.92
"184"	"4WK"	10	4	"HI"	1	22.18
"185"	"PRE"	10	4	"HI"	2	7.52
"186"	"24H"	10	4	"HI"	2	6.82
"187"	"1WK"	10	4	"HI"	2	10.19
"188"	"4WK"	10	4	"HI"	2	22.09
"189"	"PRE"	10	4	"HI"	3	5.42
"190"	"24H"	10	4	"HI"	3	7.88
"191"	"1WK"	10	4	"HI"	3	7.82
"192"	"4WK"	10	4	"HI"	3	21.78
"193"	"PRE"	10	4	"HI"	4	5.57
"194"	"24H"	10	4	"HI"	4	7.68
"195"	"1WK"	10	4	"HI"	4	11.49
"196"	"4WK"	10	4	"HI"	4	19.61
"197"	"PRE"	10	4	"HI"	5	6.21
"198"	"24H"	10	4	"HI"	5	11.21
"199"	"1WK"	10	4	"HI"	5	9.83
"200"	"4WK"	10	4	"HI"	5	24.32
"201"	"PRE"	11	4	"LO"	1	5.71
"202"	"24H"	11	4	"LO"	1	7.65
"203"	"1WK"	11	4	"LO"	1	8.32
"204"	"4WK"	11	4	"LO"	1	18.58
"205"	"PRE"	11	4	"LO"	2	5.21
"206"	"24H"	11	4	"LO"	2	5.96
"207"	"1WK"	11	4	"LO"	2	7.2
"208"	"4WK"	11	4	"LO"	2	14.13
"209"	"PRE"	11	4	"LO"	3	5.81
"210"	"24H"	11	4	"LO"	3	6.22
"211"	"1WK"	11	4	"LO"	3	10.36
"212"	"4WK"	11	4	"LO"	3	17.1
"213"	"PRE"	11	4	"LO"	4	6.65
"214"	"24H"	11	4	"LO"	4	6.37
"215"	"1WK"	11	4	"LO"	4	9.43
"216"	"4WK"	11	4	"LO"	4	22.43
"217"	"PRE"	11	4	"LO"	5	5.85
"218"	"24H"	11	4	"LO"	5	9.39
"219"	"1WK"	11	4	"LO"	5	9.79
"220"	"4WK"	11	4	"LO"	5	19.95
"221"	"PRE"	12	4	"NO"	1	5.22
"222"	"24H"	12	4	"NO"	1	5.81
"223"	"1WK"	12	4	"NO"	1	9.53
"224"	"4WK"	12	4	"NO"	1	18.41
"225"	"PRE"	12	4	"NO"	2	7.25
"226"	"24H"	12	4	"NO"	2	4.56
"227"	"1WK"	12	4	"NO"	2	9.41
"228"	"4WK"	12	4	"NO"	2	19.19
"229"	"PRE"	12	4	"NO"	3	6.92
"230"	"24H"	12	4	"NO"	3	8.16
"231"	"1WK"	12	4	"NO"	3	10.04
"232"	"4WK"	12	4	"NO"	3	14.59
"233"	"PRE"	12	4	"NO"	4	6.78
"234"	"24H"	12	4	"NO"	4	7.52
"235"	"1WK"	12	4	"NO"	4	9.03
"236"	"4WK"	12	4	"NO"	4	18.97
"237"	"PRE"	12	4	"NO"	5	5.85
"238"	"24H"	12	4	"NO"	5	7.44
"239"	"1WK"	12	4	"NO"	5	11.06
"240"	"4WK"	12	4	"NO"	5	19.28
